1,"[EXP_BUILDING] Строительство"
2,"[EXP_CAR_CONSUMABLES] Авторасходники"
3,"[EXP_CAR_DAY_PARKING] Автопарковка"
4,"[EXP_CAR_NIGHT_PARKING] Автостоянка"
5,"[EXP_CAR_SERVICE] Услуги автосервиса"
6,"[EXP_CAR_WASH] Автомойка"
7,"[EXP_COMMUNICATION_FEE] Абонплата за связь"
8,"[EXP_ENTERTAINMENT] Представительские расходы"
9,"[EXP_EQUIPMENT_OPERATION] Эксплуатация оборудования"
10,"[EXP_GAS_CAR_FUEL] Заправка автомобиля газом"
11,"[EXP_HOUSEHOLD_EXPENSES] Хозяйственные расходы"
12,"[EXP_LOADING_UNLOADING] Погрузка-разгрузка"
13,"[EXP_OTHER_TRANSPORT] Прочий транспорт"
14,"[EXP_PETROL_CAR_FUEL] Заправка автомобиля бензином"
15,"[EXP_STATIONERY] Канцелярские принадлежности"
